abstime(us), VoltagePID, Degree pr Sec, Wanted WS:3.000000,,
41733595,1.420132,7.883668,,,
41753818,1.354807,9.894276,,,
41774036,1.359383,9.841299,,,
41794293,1.354078,10.000038,,,
41814540,1.348668,10.105896,,,
41834791,1.457648,7.936573,,,
41855047,1.494129,7.936573,,,
41875273,1.362980,11.217005,,,
41895497,1.379316,10.476261,,,
41915710,1.370896,10.476261,,,
41935927,1.359772,10.529170,,,
41956148,1.355823,10.423352,,,
41976365,1.348338,10.423353,,,
41996593,1.330039,10.634986,,,
42016844,1.324219,10.529179,,,
42037093,1.301344,10.793740,,,
42057338,1.306238,10.423345,,,
42077564,1.290642,10.582078,,,
42097817,1.296573,10.264624,,,
42118068,1.278377,10.529149,,,
42138318,1.266317,10.582078,,,
42158563,1.285768,10.000038,,,
42178778,1.288468,9.947181,,,
42199005,1.278589,10.158801,,,
42219228,1.248744,10.687900,,,
42239443,1.231173,10.793757,,,
42259666,1.057621,13.915443,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:11.000000,,
45280063,1.315274,8.518600,,,
45300289,1.353739,8.624411,,,
45320510,1.395739,8.624411,,,
45340734,1.248480,12.328118,,,
45360980,1.376407,9.365142,,,
45381226,1.391792,9.629694,,,
45401478,1.202426,13.809612,,,
45421729,1.312271,10.687899,,,
45441976,1.355641,9.947152,,,
45462188,1.252588,12.328121,,,
45482409,1.464332,7.724902,,,
45502642,1.384345,10.423350,,,
45522858,1.397243,10.370451,,,
45543081,1.408373,10.370458,,,
45563329,1.416800,10.423350,,,
45583580,1.405367,10.846615,,,
45603826,1.418893,10.634983,,,
45624082,1.552420,8.148217,,,
45644331,1.470359,10.740805,,,
45664555,1.472238,10.793710,,,
45684801,1.456960,11.164069,,,
45705018,1.445946,11.322832,,,
45725229,1.437536,11.375713,,,
45745483,1.433596,11.322832,,,
45765708,1.498184,9.947181,,,
45785956,1.419466,11.851907,,,
45806172,1.458476,10.793757,,,
45826389,1.443196,11.164141,,,
45846606,1.410552,11.746168,,,
45866859,1.421697,11.269903,,,
45887107,1.419627,11.217022,,,
45907364,1.415790,11.217022,,,
45927582,1.414658,11.164093,,,
45947795,1.419868,11.005366,,,
45968014,1.419773,11.005369,,,
45988234,1.476457,9.894239,,,
46008489,1.425710,11.269916,,,
46028732,1.429049,11.111185,,,
46048982,1.554159,8.624381,,,
46069233,1.477195,10.952461,,,
46089480,1.480739,10.899538,,,
46109695,1.479812,10.952449,,,
46129921,1.605024,8.518577,,,
46150136,1.511006,11.216998,,,
46170377,1.396317,13.386310,,,
46190609,1.462275,11.269927,,,
46210834,1.549432,9.470916,,,
46231081,1.343942,14.021277,,,
46251299,1.420305,11.481571,,,
46271515,1.414495,11.428666,,,
46291732,1.415027,11.269927,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:12.000000,,
49312118,1.318058,14.074171,,,
49332375,1.427388,11.217001,,,
49352599,1.419602,11.640288,,,
49372845,1.444887,11.269916,,,
49393097,1.484833,10.740812,,,
49413346,1.507095,10.740814,,,
49433595,1.515838,11.005372,,,
49453812,1.519906,11.269897,,,
49474065,1.530110,11.322821,,,
49494321,1.558305,11.005354,,,
49514566,1.675927,9.047688,,,
49534782,1.622680,11.111176,,,
49555007,1.619467,11.481571,,,
49575225,1.696228,10.158777,,,
49595474,1.661187,11.481547,,,
49615727,1.646018,11.957765,,,
49635946,1.646766,11.957741,,,
49656164,1.655625,11.799002,,,
49676420,1.891698,7.248712,,,
49696669,1.745885,11.746097,,,
49716918,1.761189,11.534452,,,
49737134,1.766715,11.587381,,,
49757351,1.565822,15.661526,,,
49777598,1.701163,11.746120,,,
49797825,1.708356,11.693192,,,
49818074,1.713781,11.693192,,,
49838299,1.686760,12.328118,,,
49858547,1.686366,12.222302,,,
49878802,1.682436,12.222303,,,
49899026,1.692024,11.957757,,,
49919275,1.665734,12.486853,,,
49939522,1.686867,11.904848,,,
49959737,1.691254,11.851919,,,
49979959,1.688464,11.957753,,,
50000178,1.694617,11.851943,,,
50020402,1.694532,11.904848,,,
50040625,1.690808,12.010646,,,
50060870,1.693323,11.957741,,,
50081126,1.658921,12.645578,,,
50101338,1.693471,11.746097,,,
50121553,1.676331,12.169361,,,
50141795,1.481371,15.926027,,,
50162048,1.612035,12.010646,,,
50182264,1.606440,12.116456,,,
50202481,1.601677,12.169385,,,
50222705,1.617610,11.798978,,,
50242930,1.626569,11.693192,,,
50263174,1.772588,8.941841,,,
50283424,1.688764,11.640310,,,
50303674,1.700533,11.534452,,,
50323927,1.708764,11.534452,,,
abstime(us), VoltagePID, Degree pr Sec, Wanted WS:13.000000,,
53344330,1.751872,11.851931,,,
53364551,1.764060,12.010622,,,
53384765,1.786957,11.904860,,,
53404997,1.806319,11.904860,,,
53425215,1.798645,12.433947,,,
53445438,1.816764,12.275213,,,
53465688,1.832282,12.222305,,,
53485937,1.851439,12.116478,,,
53506185,1.845430,12.539764,,,
53526435,1.875196,12.116487,,,
53546687,1.901632,11.904842,,,
53566935,1.910180,12.116480,,,
53587188,1.928504,12.063575,,,
53607440,1.953172,11.904824,,,
53627665,1.964422,12.063575,,,
53647916,1.972867,12.222314,,,
53668161,1.905504,13.809633,,,
53688417,2.023672,11.217022,,,
53708643,1.979494,12.698460,,,
53728866,1.787453,16.560936,,,
53749115,1.916459,12.804317,,,
53769360,1.930735,12.592649,,,
53789614,1.783824,15.608549,,,
53809864,1.902631,12.381029,,,
53830113,1.927095,12.116432,,,
53850364,1.796714,14.973640,,,
53870575,1.878077,12.698555,,,
53890799,1.888815,12.592697,,,
53911020,1.896016,12.592697,,,
53931238,1.884293,12.963045,,,
53951489,1.890354,12.857223,,,
53971739,1.906397,12.592668,,,
53991990,1.964969,11.587375,,,
54012241,1.927759,12.804312,,,
54032458,1.955551,12.328131,,,
54052711,1.940393,12.857223,,,
54072930,1.959139,12.539768,,,
54093154,1.961869,12.645591,,,
54113373,1.938394,13.227606,,,
54133614,1.964111,12.645591,,,
54153830,1.983895,12.381053,,,
54174049,1.873170,14.762020,,,
54194267,1.947464,12.698483,,,
