x-axis,1,EXT
second,Volt,
+6.05000E-03,+3.06125622E+00,1
+6.10000E-03,+3.05120597E+00,1
+6.15000E-03,+3.16301501E+00,1
+6.20000E-03,+3.20321602E+00,1
+6.25000E-03,+3.16301501E+00,1
+6.30000E-03,+3.16301501E+00,1
+6.35000E-03,+3.04366828E+00,1
+6.40000E-03,+3.08261300E+00,1
+6.45000E-03,+3.18437180E+00,1
+6.50000E-03,+3.19442205E+00,1
+6.55000E-03,+3.23964818E+00,1
+6.60000E-03,+3.16301501E+00,1
+6.65000E-03,+3.04241200E+00,1
+6.70000E-03,+116.53263E-03,1
+6.75000E-03,+106.48238E-03,1
+6.80000E-03,+136.63313E-03,1
+6.85000E-03,+88.89444E-03,1
+6.90000E-03,+107.73866E-03,1
+6.95000E-03,+107.73866E-03,1
+7.00000E-03,+136.63313E-03,1
+7.05000E-03,+3.12281401E+00,1
+7.10000E-03,+3.16301501E+00,1
+7.15000E-03,+3.20195973E+00,1
+7.20000E-03,+3.19190948E+00,1
+7.25000E-03,+3.08261300E+00,1
+7.30000E-03,+3.11402004E+00,1
+7.35000E-03,+3.08386928E+00,1
+7.40000E-03,+3.16301501E+00,1
+7.45000E-03,+3.18437180E+00,1
+7.50000E-03,+3.19442205E+00,1
+7.55000E-03,+3.08386928E+00,1
+7.60000E-03,+3.08261300E+00,1
+7.65000E-03,+3.10145722E+00,1
+7.70000E-03,+3.14040195E+00,1
+7.75000E-03,+3.16427129E+00,1
+7.80000E-03,+107.73866E-03,1
+7.85000E-03,+129.09545E-03,1
+7.90000E-03,+147.93967E-03,1
+7.95000E-03,+108.99494E-03,1
+8.00000E-03,+159.24620E-03,1
+8.05000E-03,+169.29645E-03,1
+8.10000E-03,+210.75374E-03,1
+8.15000E-03,+1.01477383E+00,1
+8.20000E-03,+3.08261300E+00,1
+8.25000E-03,+3.12281401E+00,1
+8.30000E-03,+3.19442205E+00,1
+8.35000E-03,+3.16427129E+00,1
+8.40000E-03,+3.17432154E+00,1
+8.45000E-03,+3.16301501E+00,1
+8.50000E-03,+3.08261300E+00,1
+8.55000E-03,+3.12155773E+00,1
+8.60000E-03,+3.18060295E+00,1
+8.65000E-03,+3.16301501E+00,1
+8.70000E-03,+3.20321602E+00,1
+8.75000E-03,+3.16301501E+00,1
+8.80000E-03,+3.12281401E+00,1
+8.85000E-03,+3.08261300E+00,1
+8.90000E-03,+674.32157E-03,1
+8.95000E-03,+147.93967E-03,1
+9.00000E-03,+188.14067E-03,1
+9.05000E-03,+169.29645E-03,1
+9.10000E-03,+179.34670E-03,1
+9.15000E-03,+146.68339E-03,1
+9.20000E-03,+147.93967E-03,1
+9.25000E-03,+147.93967E-03,1
+9.30000E-03,+3.19442205E+00,1
+9.35000E-03,+3.20195973E+00,1
