N:0.250000, 
80162373, 16.825512 
80182540, 12.804320 
80202695, 15.132389 
80222847, 14.973635 
80243012, 17.566263 
80263168, 14.656175 
80283330, 14.656199 
80303496, 15.132392 
80323654, 18.254114 
80343810, 14.973617 
N:3.250000, 
85364126, 14.973617 
85384288, 5.873048 
85404449, 8.201117 
85424633, 10.317529 
85444794, 11.851919 
85464953, 12.804306 
85485111, 13.492144 
85505267, 14.021277 
85525435, 14.232874 
85545591, 12.222314 
85565747, 14.814878 
85585904, 14.709067 
85606062, 14.920735 
85626217, 14.973640 
85646383, 13.015938 
85666537, 15.079451 
85686691, 14.867830 
85706854, 14.867830 
85727018, 15.185285 
85747172, 14.497450 
85767379, 15.132377 
85787531, 15.661478 
85807686, 15.185270 
85827837, 14.867830 
85848024, 12.804317 
85868185, 14.814914 
85888369, 15.132380 
85908523, 15.344012 
85928713, 13.174701 
85948867, 14.867830 
85969051, 16.878391 
85989216, 15.132356 
86009376, 14.867830 
86029556, 14.444566 
86049743, 17.883730 
86069893, 14.762020 
86090051, 14.814949 
86110225, 14.814949 
86130390, 17.090059 
86150540, 15.132374 
86170702, 15.132377 
86190856, 15.344020 
86211016, 17.407528 
86231217, 10.687912 
86251404, 15.396929 
86271585, 15.185297 
86291770, 13.015950 
86311927, 14.973640 
86332087, 14.867830 
86352254, 15.079474 
86372413, 15.344000 
N:3.500000, 
91392719, 1.534414 
91412874, 5.449784 
91433035, 5.820143 
91453200, 10.370434 
91473396, 12.857246 
91493581, 12.857235 
91513742, 13.333392 
91533904, 13.862514 
91554062, 17.672062 
91574232, 14.920735 
91594389, 14.973617 
91614548, 14.074159 
91634746, 17.672062 
91654907, 14.656162 
91675063, 14.761972 
91695234, 14.761972 
91715395, 16.084761 
91735548, 15.502746 
91755743, 15.344020 
91775896, 15.555654 
91796059, 15.291116 
91816214, 13.333410 
91836376, 15.026564 
91856535, 14.973640 
91876696, 14.973653 
91896849, 15.079474 
91917016, 15.238190 
91937172, 15.132356 
91957328, 15.344000 
91977487, 15.185285 
91997646, 14.709067 
92017807, 14.867830 
92037968, 14.920712 
92058125, 14.709091 
92078312, 13.174677 
92098472, 15.291071 
92118634, 15.291071 
92138794, 15.449841 
92158958, 15.502751 
92179114, 15.396923 
92199274, 15.502759 
92219435, 15.291098 
92239598, 15.396941 
92259757, 14.973653 
92279952, 13.174701 
92300112, 15.555656 
92320270, 15.238190 
92340428, 15.079451 
92360590, 15.555644 
92380752, 15.396905 
92400918, 15.132403 
N:3.750000, 
97421212, 0.476193 
97441376, 5.185199 
97461531, 8.359850 
97481686, 12.010670 
97501845, 12.169385 
97522005, 12.169361 
97542161, 14.232874 
97562322, 16.349316 
97582477, 14.920735 
97602638, 14.761996 
97622804, 12.592673 
97642964, 16.878462 
97663122, 15.185308 
97683313, 13.174677 
97703473, 13.174677 
97723635, 14.179987 
97743789, 15.661481 
97763949, 15.344021 
97784105, 15.608567 
97804260, 16.402224 
97824414, 14.127064 
97844615, 15.079463 
97864773, 15.396917 
97884929, 15.555656 
97905092, 15.767312 
97925247, 13.439250 
97945406, 15.714407 
97965570, 15.449858 
97985725, 15.291095 
98005882, 15.555668 
98026043, 13.545036 
98046202, 15.291071 
98066356, 15.238190 
98086527, 15.449810 
98106717, 15.449810 
98126881, 13.439244 
98147040, 15.079463 
98167194, 15.291105 
98187358, 15.502741 
98207527, 15.502751 
98227682, 13.492144 
98247839, 15.132392 
98268028, 15.291095 
98288188, 15.344000 
98308344, 15.291119 
98328509, 15.396953 
98348661, 15.608549 
98368816, 15.449858 
98388999, 15.132380 
98409159, 15.608597 
98429325, 15.132403 
N:4.000000, 
103449599, 0.000000 
103469755, 4.232812 
103489949, 8.095288 
103510107, 10.582113 
103530265, 12.222266 
103550438, 11.957741 
103570593, 13.915467 
103590789, 14.444566 
103610956, 14.867806 
103631116, 14.444542 
103651308, 17.195892 
103671499, 15.238190 
103691665, 7.512611 
103711827, 15.820217 
103731982, 15.820217 
103752144, 15.767306 
103772305, 15.555662 
103792466, 15.238196 
103812623, 15.238196 
103832783, 15.291095 
103852967, 15.555668 
103873134, 15.555656 
103893294, 18.201160 
103913452, 15.185237 
103933618, 15.502739 
103953780, 15.555668 
103973976, 15.291095 
103994143, 15.291095 
104014307, 15.079474 
104034466, 15.291119 
104054632, 15.714359 
104074820, 15.714359 
104094987, 15.449834 
104115143, 15.555656 
104135298, 15.344010 
104155455, 15.978940 
104175613, 15.820220 
104195772, 15.238190 
104215938, 15.396923 
104236093, 15.291095 
104256249, 15.449822 
104276451, 15.555644 
104296631, 14.973664 
104316786, 15.291095 
104336979, 14.232898 
104357133, 15.714407 
104377297, 15.449810 
104397455, 15.185261 
104417611, 14.973640 
104437774, 14.444590 
104457938, 15.449810 
N:4.250000, 
109478240, 2.698445 
109498395, 7.513285 
109518552, 10.740805 
109538720, 12.116456 
109558885, 13.280535 
109579045, 12.804317 
109599204, 14.709091 
109619364, 15.079451 
109639556, 15.079451 
109659724, 15.502746 
109679880, 14.867819 
109700039, 15.502749 
109720194, 15.820210 
109740351, 15.555671 
109760521, 15.291095 
109780709, 11.058271 
109800866, 15.449822 
109821025, 15.714383 
109841183, 15.449858 
109861340, 15.449834 
109881528, 13.968301 
109901687, 15.502739 
109921846, 15.238190 
109942004, 15.449834 
109962163, 15.396929 
109982326, 13.227606 
110002478, 15.555620 
110022637, 15.661478 
110042796, 15.661478 
110062951, 15.767301 
110083116, 15.767306 
110103284, 15.661469 
110123456, 15.873116 
110143612, 15.820206 
110163772, 15.396923 
110183931, 13.333416 
110204086, 15.449834 
110224254, 15.873135 
110244416, 15.344024 
110264574, 15.396929 
110284729, 13.280487 
110304886, 15.767264 
110325057, 15.714359 
110345218, 15.608573 
110365372, 15.132332 
110385533, 13.862514 
110405693, 15.502787 
110425851, 15.502787 
110446019, 15.873122 
110466206, 15.873119 
110486369, 13.280511 
N:4.500000, 
115506651, 1.111078 
115526809, 6.560898 
115546980, 9.735537 
115567147, 9.735537 
115587308, 13.492149 
115607477, 14.656180 
115627634, 15.026548 
115647800, 15.026548 
115667964, 14.074169 
115688150, 15.026540 
115708309, 15.396923 
115728494, 15.502751 
115748652, 15.449846 
115768817, 15.767301 
115788979, 15.608549 
115809130, 15.132403 
115829293, 15.820193 
115849460, 15.820193 
115869620, 15.502739 
115889779, 15.291095 
115909935, 15.185308 
115930094, 15.344000 
115950249, 15.502739 
115970416, 15.502739 
115990585, 15.502746 
116010747, 15.873119 
116030906, 15.661480 
116051066, 16.031853 
116071254, 15.767306 
116091417, 15.396923 
116111586, 15.767312 
116131745, 15.502751 
116151906, 15.608573 
116172066, 15.608562 
116192225, 15.555644 
116212389, 15.714383 
116232547, 15.820217 
116252737, 11.481571 
116272898, 17.248798 
116293056, 15.132332 
116313209, 14.920759 
116333380, 15.555668 
116353540, 18.201160 
116373696, 18.201160 
116393863, 15.873122 
116414024, 16.137680 
116434197, 16.137680 
116454352, 13.650884 
116474505, 15.291098 
116494667, 15.767306 
116514830, 15.767306 
N:4.750000, 
121535158, 0.317469 
121555320, 2.433881 
121575479, 9.682596 
121595671, 12.698494 
121615856, 14.762004 
121636014, 14.338715 
121656177, 14.762003 
121676341, 15.079463 
121696504, 15.873122 
121716667, 15.608573 
121736822, 15.608549 
121756974, 15.449834 
121777144, 15.978956 
121797304, 15.767312 
121817464, 15.449834 
121837619, 15.555668 
121857806, 18.148256 
121877975, 15.502739 
121898130, 15.555668 
121918290, 15.555668 
121938449, 15.555668 
121958608, 15.714390 
121978770, 15.555655 
121998939, 16.084766 
122019099, 16.084766 
122039257, 15.714383 
122059418, 15.714377 
122079599, 15.396929 
122099766, 18.095350 
122119923, 15.820217 
122140084, 14.444518 
122160250, 15.820217 
122180418, 17.619158 
122200578, 15.873146 
122220745, 15.767312 
122240900, 13.597941 
122261060, 16.984272 
122281221, 15.767336 
122301384, 15.714407 
122321549, 15.714407 
122341716, 17.301697 
122361877, 15.978939 
122382040, 15.873122 
122402199, 16.031843 
122422392, 15.555675 
122442561, 13.492167 
122462724, 15.926016 
122482879, 15.820217 
122503041, 15.767288 
122523228, 15.344000 
122543391, 15.291095 
N:5.000000, 
127563703, 1.322770 
127583863, 4.814839 
127604027, 9.259319 
127624184, 12.010670 
127644339, 15.185273 
127664517, 14.497447 
127684702, 14.550352 
127704864, 15.291095 
127725021, 15.608597 
127745181, 15.873122 
127765344, 15.714359 
127785504, 15.714383 
127805664, 15.449858 
127825822, 15.873146 
127845983, 15.926075 
127866145, 15.926075 
127886316, 14.497447 
127906473, 16.190586 
127926628, 15.978951 
127946784, 15.978940 
127966945, 16.666782 
127987110, 15.608573 
128007268, 15.873122 
128027420, 15.820206 
128047587, 17.195881 
128067736, 15.820217 
128087891, 15.714359 
128108062, 16.243505 
128128219, 18.306995 
128148406, 13.545060 
128168569, 15.767312 
128188758, 13.492155 
128208925, 15.502739 
128229082, 15.820217 
128249241, 15.820217 
128269401, 15.926034 
128289562, 16.243498 
128309725, 15.661469 
128329917, 15.873122 
128350072, 15.978939 
128370231, 15.820211 
128390391, 15.820217 
128410554, 15.344024 
128430706, 15.608549 
128450876, 16.402222 
128471035, 15.714359 
128491196, 15.767312 
128511383, 15.926051 
128531547, 15.820217 
128551713, 16.031815 
128571876, 15.873122 
N:5.250000, 
133592153, 2.751327 
133612316, 7.830739 
133632473, 11.534476 
133652641, 12.645578 
133672830, 14.497471 
133692989, 15.079451 
133713154, 15.238190 
133733314, 15.555620 
133753474, 13.915443 
133773647, 13.915443 
133793810, 16.031843 
133813971, 15.978942 
133834124, 15.873114 
133854281, 16.296400 
133874447, 15.978939 
133894607, 15.926040 
133914757, 15.714396 
133934918, 15.926040 
133955073, 15.873111 
133975232, 15.820217 
133995398, 15.714407 
134015560, 16.137672 
134035715, 16.243483 
134055878, 15.502763 
134076042, 15.820193 
134096210, 15.608597 
134116368, 15.608549 
134136531, 16.031885 
134156693, 16.031885 
134176882, 16.455137 
134197044, 16.243494 
134217213, 16.031853 
134237378, 16.084755 
134257569, 13.703796 
134277728, 16.137672 
134297889, 15.926040 
134318047, 15.767301 
134338214, 16.031837 
134358371, 15.978909 
134378571, 15.978956 
134398735, 16.190601 
134418890, 16.137672 
134439058, 16.137720 
134459216, 16.084719 
134479372, 15.873098 
134499575, 13.492107 
134519735, 15.661478 
134539893, 15.661478 
134560067, 17.724985 
134580221, 15.926037 
134600379, 15.873122 
N:5.500000, 
139620715, 0.899506 
139640874, 7.301664 
139661068, 7.301664 
139681230, 13.492155 
139701380, 14.920735 
139721548, 15.396922 
139741711, 15.449837 
139761879, 15.661478 
139782064, 15.449828 
139802245, 16.825516 
139822406, 15.767301 
139842572, 13.545060 
139862732, 15.926016 
139882904, 16.984249 
139903091, 16.243505 
139923247, 16.190601 
139943408, 15.185261 
139963573, 18.730284 
139983740, 15.873122 
140003900, 15.661478 
140024052, 15.714407 
140044214, 16.984224 
140064373, 16.984224 
140084536, 16.560955 
140104727, 16.137669 
140124888, 16.137669 
140145052, 14.973647 
140165220, 16.031862 
140185375, 15.873111 
140205530, 18.148268 
140225696, 16.137672 
140245882, 12.328124 
140266042, 15.978909 
140286204, 15.978909 
140306367, 16.190624 
140326539, 16.296387 
140346693, 14.497471 
140366853, 18.889023 
140387022, 15.820217 
140407178, 15.978956 
140427335, 15.820169 
140447501, 15.820169 
140467669, 16.402222 
140487829, 16.349314 
140508020, 16.455130 
140528176, 16.455130 
140548346, 15.820206 
140568502, 16.190577 
140588660, 15.873111 
140608818, 15.873111 
140628978, 16.137672 
N:5.750000, 
145649317, 2.328062 
145669506, 6.243432 
145689661, 10.899544 
145709824, 13.015962 
145730014, 17.354631 
145750171, 14.973653 
145770338, 13.545060 
145790502, 15.873122 
145810654, 15.873122 
145830811, 15.978932 
145850974, 15.873122 
145871138, 14.285827 
145891322, 16.719700 
145911501, 15.291119 
145931665, 16.137695 
145951825, 16.137695 
145971994, 15.502751 
145992164, 16.402222 
146012347, 15.926027 
146032507, 16.402216 
146052665, 16.190596 
146072853, 16.296398 
146093039, 16.084749 
146113209, 16.243494 
146133371, 16.190601 
146153524, 15.978969 
146173687, 15.873098 
146193844, 16.455126 
146214010, 16.296387 
146234171, 15.926051 
146254329, 16.137672 
146274494, 16.349316 
146294651, 15.714407 
146314813, 15.714407 
146334988, 15.714407 
146355148, 17.830807 
146375307, 16.349308 
146395466, 16.137669 
146415622, 16.402225 
146435793, 17.989529 
146455951, 15.926016 
146476104, 15.978945 
146496265, 15.714383 
146516425, 17.407513 
146536619, 14.444566 
146556787, 16.084766 
146576950, 16.296412 
146597108, 16.296412 
146617269, 15.926003 
146637426, 16.084766 
146657600, 15.714383 
